r,phi[0],phi[1],
0,5,12.2057,
0.543803,5,12.2057,
1.08761,5,12.2057,
1.63141,5,12.2057,
2.17521,5,12.2057,
2.71902,4.99998,12.2056,
3.26282,4.99992,12.2053,
3.80662,4.99962,12.2039,
4.35043,4.99811,12.1966,
4.89423,4.99064,12.1607,
5.43803,4.95433,11.9862,
5.98184,4.7888,11.1905,
6.52564,4.21276,8.42162,
7.06945,3.24797,3.78408,
7.61325,2.67193,1.01518,
8.15705,2.5064,0.219534,
8.70086,2.47009,0.0449687,
9.24466,2.46262,0.0091058,
9.78846,2.46111,0.00183953,
10.3323,2.46081,0.000371438,
10.8761,2.46075,7.4994e-05,
11.4199,2.46073,1.51411e-05,
11.9637,2.46073,3.05694e-06,
12.5075,2.46073,6.17185e-07,
13.0513,2.46073,1.24608e-07,
13.5951,2.46073,2.51578e-08,
14.1389,2.46073,5.07928e-09,
14.6827,2.46073,1.02549e-09,
15.2265,2.46073,2.07043e-10,
15.7703,2.46073,4.18012e-11,
16.3141,2.46073,8.43947e-12,
16.8579,2.46073,1.7053e-12,
17.4017,2.46073,3.44613e-13,
17.9455,2.46073,7.10543e-14,
18.4893,2.46073,1.42109e-14,
19.0331,2.46073,3.55271e-15,
19.5769,2.46073,0,
20.1207,2.46073,0,
20.6645,2.46073,0,
21.2083,2.46073,0,
21.7521,2.46073,0,
22.2959,2.46073,0,
22.8397,2.46073,0,
23.3835,2.46073,0,
23.9274,2.46073,0,
24.4712,2.46073,0,
25.015,2.46073,0,
25.5588,2.46073,0,
26.1026,2.46073,0,
26.6464,2.46073,0,
27.1902,2.46073,0,
27.734,2.46073,0,
28.2778,2.46073,0,
28.8216,2.46073,0,
29.3654,2.46073,0,
29.9092,2.46073,0,
30.453,2.46073,0,
30.9968,2.46073,0,
31.5406,2.46073,0,
32.0844,2.46073,0,
32.6282,2.46073,0,
33.172,2.46073,0,
33.7158,2.46073,0,
34.2596,2.46073,0,
34.8034,2.46073,0,
35.3472,2.46073,0,
35.891,2.46073,0,
36.4348,2.46073,0,
36.9786,2.46073,0,
37.5224,2.46073,0,
38.0662,2.46073,0,
38.61,2.46073,0,
39.1538,2.46073,0,
39.6977,2.46073,0,
40.2415,2.46073,0,
40.7853,2.46073,0,
41.3291,2.46073,0,
41.8729,2.46073,0,
42.4167,2.46073,0,
42.9605,2.46073,0,
43.5043,2.46073,0,
44.0481,2.46073,0,
44.5919,2.46073,0,
45.1357,2.46073,0,
45.6795,2.46073,0,
46.2233,2.46073,0,
46.7671,2.46073,0,
47.3109,2.46073,0,
47.8547,2.46073,0,
48.3985,2.46073,0,
48.9423,2.46073,0,
49.4861,2.46073,0,
50.0299,2.46073,0,
50.5737,2.46073,0,
51.1175,2.46073,0,
51.6613,2.46073,0,
52.2051,2.46073,0,
52.7489,2.46073,0,
53.2927,2.46073,0,
53.8365,2.46073,0,
54.3803,2.46073,0,
54.9242,2.46073,0,
55.468,2.46073,0,
56.0118,2.46073,0,
56.5556,2.46073,0,
57.0994,2.46073,0,
57.6432,2.46073,0,
58.187,2.46073,0,
58.7308,2.46073,0,
59.2746,2.46073,0,
59.8184,2.46073,0,
60.3622,2.46073,0,
60.906,2.46073,0,
61.4498,2.46073,0,
61.9936,2.46073,0,
62.5374,2.46073,0,
63.0812,2.46073,0,
63.625,2.46073,0,
64.1688,2.46073,0,
64.7126,2.46073,0,
65.2564,2.46073,0,
65.8002,2.46073,0,
66.344,2.46073,0,
66.8878,2.46073,0,
67.4316,2.46073,0,
67.9754,2.46073,0,
68.5192,2.46073,0,
69.063,2.46073,0,
69.6068,2.46073,0,
70.1506,2.46073,0,
70.6945,2.46073,0,
