r,phi[0],phi[1],
97.4512,2.4923,0.183889,
97.9385,2.49131,0.178098,
98.4257,2.49035,0.172495,
98.913,2.48943,0.167073,
99.4002,2.48853,0.161827,
99.8875,2.48766,0.15675,
100.375,2.48682,0.151837,
100.862,2.48601,0.147083,
101.349,2.48522,0.142481,
101.837,2.48445,0.138028,
102.324,2.48372,0.133718,
102.811,2.483,0.129546,
103.298,2.48231,0.125508,
103.786,2.48164,0.121599,
104.273,2.48099,0.117816,
104.76,2.48036,0.114153,
105.247,2.47975,0.110607,
105.735,2.47917,0.107175,
106.222,2.4786,0.103851,
106.709,2.47804,0.100634,
107.196,2.47751,0.0975186,
107.684,2.47699,0.0945022,
108.171,2.47649,0.0915816,
108.658,2.476,0.0887535,
109.145,2.47553,0.0860149,
109.633,2.47508,0.0833629,
110.12,2.47464,0.0807948,
110.607,2.47421,0.0783076,
111.094,2.4738,0.0758989,
111.582,2.47339,0.073566,
112.069,2.47301,0.0713065,
112.556,2.47263,0.069118,
113.043,2.47227,0.0669982,
113.531,2.47191,0.064945,
114.018,2.47157,0.062956,
114.505,2.47124,0.0610293,
114.992,2.47092,0.0591629,
115.48,2.47061,0.0573547,
115.967,2.47031,0.055603,
116.454,2.47001,0.053906,
116.941,2.46973,0.0522617,
117.429,2.46946,0.0506687,
117.916,2.46919,0.0491251,
118.403,2.46893,0.0476295,
118.89,2.46868,0.0461804,
119.378,2.46844,0.0447761,
119.865,2.46821,0.0434153,
120.352,2.46798,0.0420966,
120.839,2.46776,0.0408187,
121.327,2.46755,0.0395803,
121.814,2.46734,0.0383801,
122.301,2.46714,0.0372168,
122.789,2.46695,0.0360894,
123.276,2.46676,0.0349967,
123.763,2.46658,0.0339376,
124.25,2.4664,0.032911,
124.738,2.46623,0.0319159,
125.225,2.46606,0.0309513,
125.712,2.4659,0.0300163,
126.199,2.46575,0.0291098,
126.687,2.46559,0.0282311,
127.174,2.46545,0.0273793,
127.661,2.4653,0.0265534,
128.148,2.46517,0.0257527,
128.636,2.46503,0.0249765,
129.123,2.4649,0.0242238,
129.61,2.46478,0.0234941,
130.097,2.46466,0.0227865,
130.585,2.46454,0.0221004,
131.072,2.46442,0.0214351,
131.559,2.46431,0.02079,
132.046,2.4642,0.0201644,
132.534,2.4641,0.0195578,
133.021,2.464,0.0189695,
133.508,2.4639,0.018399,
133.995,2.4638,0.0178457,
134.483,2.46371,0.0173091,
134.97,2.46362,0.0167886,
135.457,2.46354,0.0162839,
135.944,2.46345,0.0157943,
136.432,2.46337,0.0153194,
136.919,2.46329,0.0148588,
137.406,2.46321,0.014412,
137.893,2.46314,0.0139787,
138.381,2.46307,0.0135583,
138.868,2.46299,0.0131504,
139.355,2.46293,0.0127548,
139.842,2.46286,0.012371,
140.33,2.4628,0.0119987,
140.817,2.46273,0.0116375,
141.304,2.46267,0.0112871,
141.792,2.46262,0.0109471,
142.279,2.46256,0.0106172,
142.766,2.4625,0.0102971,
143.253,2.46245,0.00998654,
143.741,2.4624,0.00968521,
144.228,2.46235,0.00939281,
144.715,2.4623,0.00910908,
145.202,2.46225,0.00883375,
145.69,2.4622,0.00856657,
146.177,2.46216,0.00830729,
146.664,2.46212,0.00805568,
147.151,2.46207,0.00781149,
147.639,2.46203,0.0075745,
148.126,2.46199,0.0073445,
148.613,2.46196,0.00712126,
149.1,2.46192,0.0069046,
149.588,2.46188,0.0066943,
150.075,2.46185,0.00649018,
150.562,2.46181,0.00629205,
151.049,2.46178,0.00609973,
151.537,2.46175,0.00591304,
152.024,2.46172,0.00573181,
152.511,2.46169,0.00555588,
152.998,2.46166,0.00538509,
153.486,2.46163,0.00521928,
153.973,2.4616,0.0050583,
154.46,2.46157,0.00490201,
154.947,2.46155,0.00475027,
155.435,2.46152,0.00460294,
155.922,2.4615,0.00445988,
156.409,2.46147,0.00432097,
156.896,2.46145,0.00418609,
157.384,2.46143,0.00405511,
157.871,2.4614,0.00392792,
158.358,2.46138,0.00380439,
158.845,2.46136,0.00368444,
159.333,2.46134,0.00356793,
159.82,2.46132,0.00345478,
160.307,2.4613,0.00334488,
160.794,2.46129,0.00323813,
161.282,2.46127,0.00313444,
161.769,2.46125,0.00303372,
162.256,2.46123,0.00293587,
162.744,2.46122,0.00284082,
163.231,2.4612,0.00274848,
163.718,2.46119,0.00265876,
164.205,2.46117,0.0025716,
164.693,2.46116,0.0024869,
