r,phi[0],phi[1],
0,1.08227e+37,20.8444,
1.88368e+19,0.582932,20.8157,
3.76736e+19,0.400396,20.7307,
5.65104e+19,0.290649,20.5891,
7.53471e+19,0.227629,20.3911,
9.41839e+19,0.187597,20.1371,
1.13021e+20,0.160093,19.8275,
1.31858e+20,0.140016,19.4631,
1.50694e+20,0.124632,19.0448,
1.69531e+20,0.11236,18.5741,
1.88368e+20,0.102236,18.0528,
2.07205e+20,0.0936392,17.4832,
2.26041e+20,0.0861604,16.8684,
2.44878e+20,0.0795191,16.2116,
2.63715e+20,0.07352,15.517,
2.82552e+20,0.0680249,14.7892,
3.01389e+20,0.0629354,14.0333,
3.20225e+20,0.0581809,13.2549,
3.39062e+20,0.0537112,12.4601,
3.57899e+20,0.0494909,11.6552,
3.76736e+20,0.045496,10.8467,
3.95573e+20,0.0417105,10.0412,
4.14409e+20,0.0381248,9.24493,
4.33246e+20,0.0347334,8.4643,
4.52083e+20,0.031534,7.70509,
4.7092e+20,0.0285262,6.97268,
4.89756e+20,0.0257106,6.27183,
5.08593e+20,0.0230879,5.60661,
5.2743e+20,0.0206582,4.98036,
5.46267e+20,0.0184209,4.39561,
5.65104e+20,0.016374,3.85409,
5.8394e+20,0.0145141,3.35674,
6.02777e+20,0.0128359,2.90373,
6.21614e+20,0.0113328,2.49455,
6.40451e+20,0.00999667,2.12805,
6.59288e+20,0.00881814,1.80251,
6.78124e+20,0.00778672,1.5158,
6.96961e+20,0.00689123,1.26542,
7.15798e+20,0.00611999,1.04862,
7.34635e+20,0.00546114,0.862496,
7.53471e+20,0.00490291,0.704069,
7.72308e+20,0.00443383,0.570375,
7.91145e+20,0.00404291,0.458523,
8.09982e+20,0.00371985,0.365752,
8.28819e+20,0.00345511,0.289474,
8.47655e+20,0.00323998,0.2273,
8.66492e+20,0.00306664,0.177064,
8.85329e+20,0.00292816,0.136829,
9.04166e+20,0.00281848,0.104885,
9.23003e+20,0.00273236,0.0797479,
9.41839e+20,0.00266531,0.0601405,
9.60676e+20,0.00261356,0.0449817,
9.79513e+20,0.00257397,0.033366,
9.9835e+20,0.00254395,0.0245443,
1.01719e+21,0.00252138,0.0179042,
1.03602e+21,0.00250457,0.0129509,
1.05486e+21,0.00249215,0.00928884,
1.0737e+21,0.00248306,0.00660578,
1.09253e+21,0.00247646,0.00465767,
1.11137e+21,0.00247172,0.00325595,
1.13021e+21,0.00246834,0.00225649,
1.14904e+21,0.00246596,0.00155031,
1.16788e+21,0.00246429,0.00105589,
1.18672e+21,0.00246313,0.000712873,
1.20555e+21,0.00246234,0.000477076,
1.22439e+21,0.0024618,0.000316466,
1.24323e+21,0.00246143,0.000208072,
1.26206e+21,0.00246119,0.000135592,
1.2809e+21,0.00246103,8.75738e-05,
1.29974e+21,0.00246092,5.60552e-05,
1.31858e+21,0.00246085,3.55586e-05,
1.33741e+21,0.00246081,2.23535e-05,
1.35625e+21,0.00246078,1.39253e-05,
1.37509e+21,0.00246076,8.59623e-06,
1.39392e+21,0.00246075,5.25823e-06,
1.41276e+21,0.00246074,3.18702e-06,
1.4316e+21,0.00246074,1.91394e-06,
1.45043e+21,0.00246074,1.13883e-06,
1.46927e+21,0.00246073,6.71366e-07,
1.48811e+21,0.00246073,3.92117e-07,
1.50694e+21,0.00246073,2.26889e-07,
1.52578e+21,0.00246073,1.30058e-07,
1.54462e+21,0.00246073,7.38545e-08,
1.56345e+21,0.00246073,4.15445e-08,
1.58229e+21,0.00246073,2.3149e-08,
1.60113e+21,0.00246073,1.27768e-08,
1.61996e+21,0.00246073,6.98499e-09,
1.6388e+21,0.00246073,3.78224e-09,
1.65764e+21,0.00246073,2.02842e-09,
1.67647e+21,0.00246073,1.0774e-09,
1.69531e+21,0.00246073,5.66747e-10,
1.71415e+21,0.00246073,2.95243e-10,
1.73298e+21,0.00246073,1.52309e-10,
1.75182e+21,0.00246073,7.77993e-11,
1.77066e+21,0.00246073,3.93345e-11,
1.78949e+21,0.00246073,1.96561e-11,
1.80833e+21,0.00246073,9.65035e-12,
1.82717e+21,0.00246073,4.53406e-12,
1.84601e+21,0.00246073,1.78291e-12,
1.86484e+21,0.00246073,0,
